,년도,월,Model,판매량
306,2023,7,Kona (SX2 EV),238
307,2023,7,Kona (SX2 HEV),836
308,2023,7,IONIQ 6 (CE),488
309,2023,7,Grandeur (GN7),3409
310,2023,7,Santa-Fe (MX5),0
311,2023,7,G70 S/B (IK S/B),30
312,2023,7,GV80 Coupe (JX Coupe),0
313,2023,7,Grandeur (GN7 HEV),5122
314,2023,7,IONIQ 5 N (NE N),0
315,2023,7,Kona (SX2),1564
316,2023,7,Casper (AX EV),0
317,2023,7,Santa-Fe (MX5 HEV),0
318,2023,7,GV70 (JK EV),206
319,2023,7,Niro Plus,303
320,2023,7,EV3,0
321,2023,7,EV9,1251
322,2023,7,Bongo,5665
323,2023,8,Kona (SX2 EV),355
324,2023,8,Kona (SX2 HEV),1153
325,2023,8,IONIQ 6 (CE),400
326,2023,8,Grandeur (GN7),3492
327,2023,8,Santa-Fe (MX5),550
328,2023,8,G70 S/B (IK S/B),34
329,2023,8,GV80 Coupe (JX Coupe),0
330,2023,8,Grandeur (GN7 HEV),5328
331,2023,8,IONIQ 5 N (NE N),0
332,2023,8,Kona (SX2),1187
333,2023,8,Casper (AX EV),0
334,2023,8,Santa-Fe (MX5 HEV),0
335,2023,8,GV70 (JK EV),94
336,2023,8,Niro Plus,115
337,2023,8,EV3,0
338,2023,8,EV9,408
339,2023,8,Bongo,3892
340,2023,9,Kona (SX2 EV),208
341,2023,9,Kona (SX2 HEV),1056
342,2023,9,IONIQ 6 (CE),344
343,2023,9,Grandeur (GN7),3509
344,2023,9,Santa-Fe (MX5),4329
345,2023,9,G70 S/B (IK S/B),20
346,2023,9,GV80 Coupe (JX Coupe),0
347,2023,9,Grandeur (GN7 HEV),4650
348,2023,9,IONIQ 5 N (NE N),93
349,2023,9,Kona (SX2),1237
350,2023,9,Casper (AX EV),0
351,2023,9,Santa-Fe (MX5 HEV),0
352,2023,9,GV70 (JK EV),121
353,2023,9,Niro Plus,103
354,2023,9,EV3,0
355,2023,9,EV9,1163
356,2023,9,Bongo,4480
357,2023,10,Kona (SX2 EV),337
358,2023,10,Kona (SX2 HEV),1271
359,2023,10,IONIQ 6 (CE),472
360,2023,10,Grandeur (GN7),3913
361,2023,10,Santa-Fe (MX5),3277
362,2023,10,G70 S/B (IK S/B),21
363,2023,10,GV80 Coupe (JX Coupe),0
364,2023,10,Grandeur (GN7 HEV),4279
